Trait	h2	SE	Int	IntSE	MeanChi2	Lambda	Ratio	RatioSE	Z
ChSppaFullQ11C	0.1098	0.0289	1.0161	0.0069	1.0516	1.0513	0.3126	0.1338	3.8
ChSppaSociaQ11C	0.1098	0.0289	1.0161	0.0069	1.0516	1.0513	0.3126	0.1338	3.8
ChSprakExpreQ07	0.0506	0.0179	1.0126	0.0069	1.0388	1.0395	0.3236	0.1775	2.82
ChSprakFullQ07	0.0556	0.0178	1.0243	0.007	1.0531	1.0498	0.4568	0.1315	3.12
ChSprakFullQ09	0.0506	0.0254	1.0246	0.0068	1.0438	1.0417	0.5615	0.1555	1.99
ChSprakRecepQ07	0.0241	0.0174	1.0194	0.0068	1.032	1.0277	0.6043	0.2134	1.39
ChSprakSemanQ07	0.0597	0.0176	1.0108	0.0068	1.0418	1.0395	0.2589	0.1623	3.39
ChSprakSemanQ09	0.0511	0.0254	1.0244	0.0068	1.0438	1.0418	0.5579	0.1553	2.01
ChSwlsFullQ11C	0.1371	0.0292	0.9993	0.0071	1.0435	1.0537	-0.0157	0.1632	4.7
ChYptiFullQ11C	0.0751	0.0288	1.0103	0.0069	1.0345	1.0349	0.2978	0.1985	2.61
