Trait,h2,SE,Int,IntSE,MeanChi2,Lambda,Ratio,RatioSE,Z
ChScqRestr_Q09,0.0469,0.0168,1.0207,0.0069,1.0453,1.0458,0.4578,0.1513,2.79
ChScqSocia_Q06,-0.0104,0.01,1.0404,0.0067,1.0321,1.0402,1.2577,0.2085,-1.04
ChScqSocia_Q09,0.0045,0.0168,1.0394,0.0069,1.0415,1.0467,0.9487,0.1668,0.27
ChSdqFull_Q06,0.0155,0.0108,1.0312,0.0069,1.0439,1.0407,0.7119,0.1573,1.43
ChSdqFull_Q11C,0.0933,0.0383,1.0044,0.0068,1.0263,1.0182,0.1669,0.2585,2.43
ChSdqFull_Q11M,5e-04,0.0439,1.0074,0.0067,1.0075,1.0072,0.9977,0.9057,0.0113
ChSdqProso_Q06,0.0153,0.0108,1.0307,0.0069,1.0432,1.0406,0.7103,0.1596,1.42
ChSdqProso_Q11C,0.0934,0.0383,1.0046,0.0068,1.0265,1.0178,0.173,0.2566,2.44
ChSdqProso_Q11M,0.0038,0.0439,1.0068,0.0067,1.0075,1.0073,0.9108,0.9018,0.0874
ChSlasFull_Q07,0.0027,0.0558,1.0061,0.0067,1.0066,1.0085,0.9289,1.0154,0.0487
ChSmfqFull_Q09,0.0596,0.0145,1.0019,0.0068,1.0396,1.0415,0.0468,0.1724,4.11
ChSmfqFull_Q11C,-0.0248,0.0336,1.0078,0.0064,1.0018,1.004,4.2898,3.5081,-0.738
ChSmfqFull_Q11M,0.0748,0.0431,1.0039,0.0068,1.0191,1.0175,0.2048,0.3582,1.74
ChSpinFull_Q09,0.0364,0.0153,1.0486,0.0071,1.0722,1.0659,0.6731,0.0979,2.38
ChSpinFull_Q11C,-0.0678,0.0337,1.0169,0.0064,1.001,1.0072,16.7159,6.287,-2.01
ChSppaFull_Q11C,0.0117,0.0261,1.0032,0.0067,1.0069,1.0046,0.4646,0.9756,0.448
ChSppaSocia_Q11C,0.0097,0.0261,1.0031,0.0067,1.0062,1.0047,0.502,1.0871,0.374
ChSprakExpre_Q07,0.0596,0.0173,1.0001,0.0067,1.0309,1.0367,0.0026,0.2181,3.44
ChSprakFull_Q07,0.0177,0.0174,1.0193,0.0068,1.0284,1.0265,0.6803,0.2409,1.02
ChSprakFull_Q09,0.0383,0.0248,1.024,0.0068,1.0384,1.0355,0.6244,0.1771,1.54
ChSprakRecep_Q07,0.0169,0.0173,1.0173,0.0068,1.0262,1.0209,0.6606,0.2591,0.976
ChSprakSeman_Q07,0.0468,0.0172,1.0065,0.0067,1.0306,1.0228,0.2115,0.2191,2.71
ChSprakSeman_Q09,0.0377,0.0248,1.0238,0.0068,1.038,1.0353,0.6269,0.1786,1.52
ChSwlsFull_Q11C,0.0128,0.0254,0.9995,0.0065,1.0036,1.0074,-0.1447,1.8125,0.505
ChYptiFull_Q11C,0.044,0.0265,1.0012,0.0067,1.0154,1.0141,0.0805,0.4316,1.66
